"","user_name","cvtd_timestamp","new_window","classe","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27"
"11","carlitos","05/12/2011 11:23","no","A",-4.20190132810403,-0.612178857573534,-3.60325536007113,0.880514905105141,1.19049176631374,1.85601685921886,-0.0173089787430781,2.96178883756419,-0.146397746324233,0.425952110892054,0.97638082952615,0.782563609720691,1.92222585433768,2.91832410274219,-0.841961686639793,-0.154523359968212,-0.608024742555487,0.499984310189554,0.589219414098865,0.279984504384898,0.851912382964383,1.10820874213414,0.787460217631118,0.42798893569962,0.430315665812971,-0.363350095673992,-0.126744378096175
"16","carlitos","05/12/2011 11:23","no","A",-4.17246594440628,-0.622802225691552,-3.65973146664259,0.897755554423363,1.23375568135396,1.83854991727158,0.0211238901350863,2.96995706769174,-0.149865589127939,0.442719457448008,0.989254353310782,0.780481062283731,1.98201351008845,2.73335790271893,-1.30389301122789,-0.161808631199832,-0.58883190791459,0.421946914957116,0.609523876667526,0.315418359131104,0.81760043249036,1.09408689705587,0.762012911525144,0.481356145737713,0.41850437821395,-0.352163482871776,-0.12373382050898
"17","carlitos","05/12/2011 11:23","no","A",-4.17506337894934,-0.587424000853567,-3.64737478836509,0.890973897927327,1.21954188834009,1.81348679075462,0.028776614472447,2.98455786037638,-0.142266090777743,0.404379767931707,1.00882327645151,0.726286727190641,1.96123831985703,2.69617323375903,-1.46597360705594,-0.164136784565189,-0.6184999106817,0.447397946185531,0.599549370561477,0.299011913535689,0.825682549908061,1.1249434024175,0.742238541062662,0.391914073452952,0.40760003021396,-0.372938682822274,-0.117393905900385
"21","carlitos","05/12/2011 11:23","no","A",-4.24750642944602,-0.632768313954844,-3.68781894952894,0.89596899885667,1.3610062494266,1.91635017097641,-0.0200125088895731,2.93952772651559,-0.208738368534103,0.460765959842934,1.01173837669022,0.762451113072052,1.89203533922023,2.44181178608331,-2.06209970423684,-0.194370488856072,-0.706765158037591,0.435887630809315,0.563275509058708,0.322240749297051,0.696962353268856,1.15436399108994,0.741881592024042,0.396902868792141,0.392170053043713,-0.335635680274128,-0.146450280313651
"22","carlitos","05/12/2011 11:23","no","A",-4.19975441310045,-0.703151616007068,-3.62771804210158,0.880873136544984,1.27772468477176,1.90208837291673,-0.0195534741986504,2.96505079653029,-0.158365193614593,0.455008886397039,0.993159976481597,0.706769132268518,1.96369288593199,2.42421316771458,-2.11084968162188,-0.152440321867473,-0.592841787710003,0.345415804601397,0.603865208170977,0.311511305159824,0.735132464054426,1.13741036875952,0.741773349277808,0.381215228615242,0.415983815795529,-0.329541463765055,-0.164789278087597
"29","carlitos","05/12/2011 11:23","no","A",-4.21375537733106,-0.637617800365765,-3.64709680358955,0.886212437619864,1.2495597780158,1.87973361171468,0.0111400953601676,2.94388196526058,-0.193437779450594,0.42893419561542,0.886508315687849,0.879166782314963,1.64604282285076,3.35748288668648,0.290756672483657,-0.166666297575924,-0.467843534897141,0.577631643638207,0.642604514029527,0.300150495914088,0.829402462546284,1.16456979840956,0.744292956621134,0.386816780945151,0.407455800334136,-0.338109777786471,-0.10583158338936
"33","carlitos","05/12/2011 11:23","no","A",-4.18068156480169,-0.638254050444826,-3.66686538745598,0.896638745198573,1.24883904919328,1.82990345668842,0.0167180187061888,2.97223379637819,-0.194070287880784,0.395041580456285,0.944910652173972,0.832100549122898,1.73816346382663,3.14460607760921,-0.233718874694135,-0.16723709504459,-0.529760933060043,0.534413885113604,0.629565251391657,0.326701352973869,0.829805694943004,1.14237270795585,0.727634257729046,0.410428991477539,0.426356274059047,-0.362149439454362,-0.0948969760918334
"34","carlitos","05/12/2011 11:23","no","A",-4.18752528545065,-0.674215755836087,-3.6278513644061,0.893972770659416,1.2689782410723,1.95236840160439,-0.0341940682790503,2.95102949386733,-0.167177065748843,0.449901009863999,0.907943267602973,0.827294756110951,1.72687777196332,3.11940123550072,-0.338658330456633,-0.155046419300424,-0.41397441033339,0.447332367225529,0.652250182921423,0.315439761734946,0.790695334370558,1.14995007578173,0.762033917329737,0.378578292758502,0.422435730046787,-0.356594316252102,-0.140441761518237
"37","carlitos","05/12/2011 11:23","no","A",-4.2000365851612,-0.682917019595195,-3.65253292289726,0.902399583440453,1.26245748921734,1.89312493468024,-0.00734357532260565,2.9546324038844,-0.167163186041971,0.430544365448505,0.911958543775864,0.818682066130043,1.75710902529254,2.97995711462694,-0.717954412143303,-0.15701261460492,-0.429921276603102,0.428736313764493,0.673552659424288,0.351944700619128,0.802428625223391,1.14938246897754,0.71475122267458,0.385082543468695,0.404456131897317,-0.331168991991245,-0.109235991502373
"40","carlitos","05/12/2011 11:23","no","A",-4.17368989771231,-0.66016365769304,-3.65764594063396,0.900883353268929,1.20332061092446,1.87187222326659,0.00805452709692306,2.96762297330861,-0.163897370744026,0.43219938045312,0.970462963362911,0.769732330991585,1.915029715444,2.89529345917712,-0.877101040335208,-0.162075591266865,-0.60797296380545,0.473158836111867,0.569309171219613,0.297863634194406,0.839554278454292,1.11285293099557,0.716049881203804,0.441048343663183,0.428988775534848,-0.326687947617773,-0.158471340539066
"42","carlitos","05/12/2011 11:23","no","A",-4.22068709150072,-0.627316855895973,-3.66365253315901,0.895602577897837,1.322602813857,1.8461410772557,0.0080937165441279,2.95261832546469,-0.204104138137112,0.435691640846286,0.978755157192976,0.822214039088819,1.78122506430565,2.82358915509413,-1.09984966028903,-0.197966707562075,-0.619204667966774,0.498094640681652,0.607968864570011,0.313734762776339,0.752385721174126,1.17018604387483,0.700877420223825,0.429526456939981,0.39075523222466,-0.346690401450612,-0.107343234547027
"49","carlitos","05/12/2011 11:23","no","A",-4.18581240868989,-0.63336233594002,-3.60299335336802,0.882007395900558,1.21928636347028,1.79452986131418,0.0273098854015656,3.00842365699379,-0.117413681923978,0.42901432286298,1.03009267840576,0.717496056028436,2.02535688201734,2.58778236949277,-1.74688789434292,-0.186152917451591,-0.721577965362446,0.432888249609543,0.566055983200023,0.284559566908613,0.817685466594995,1.08977892621905,0.71979378527839,0.448936652456306,0.425462180484687,-0.312728429270352,-0.123273359913518
"52","carlitos","05/12/2011 11:23","yes","A",-4.18483442462237,-0.648552289048895,-3.64521423654905,0.882088927302469,1.26391890977893,1.80178116460013,0.0270049203994881,2.99539282808205,-0.169520608260034,0.419690970599763,1.05900216961775,0.716142831507144,2.01517368379888,2.35900776550633,-2.27432625559625,-0.193792593172708,-0.742260632525739,0.403367138897772,0.558351630846727,0.322205406872118,0.772645645185778,1.1183717606494,0.660844991656016,0.430434669883667,0.409495677100728,-0.333408732122779,-0.120219845290732
"54","carlitos","05/12/2011 11:23","no","A",-4.18332142722339,-0.591404176740735,-3.67744071079065,0.901541100636472,1.2079788061016,1.88059562729917,0.0197167545216308,2.92040434735545,-0.179172759907643,0.42706825809609,0.874323207190611,0.881743008686064,1.68825803359542,3.46751899690722,0.519472965333485,-0.183683927638187,-0.438580775073342,0.554786556505675,0.655772674994855,0.313910019603532,0.884820114866687,1.14789707593025,0.701465453554738,0.417521022031119,0.41657864686645,-0.347360935369425,-0.0898576427069255
"57","carlitos","05/12/2011 11:23","no","A",-4.24639671922014,-0.669550724362464,-3.5871960213032,0.876744245405804,1.23386477414846,1.84248876784474,0.0120985227514547,2.91035566678087,-0.205614899152933,0.456169987463665,0.917084666917246,0.871917417419415,1.72880811248381,3.21309022372728,-0.0560363822971034,-0.173566906695214,-0.531343089446522,0.567438943650846,0.608052878263706,0.341719803224675,0.814523224342329,1.15349751294463,0.707682297196911,0.511849936708442,0.426238862424468,-0.286760965557334,-0.0830318506388378
